"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
"
North America
","9,536,240","+9,284","326,102",+169,"6,254,491","+4,005","2,955,647"
"
Asia
","11,757,408","+26,292","212,262",+634,"10,068,859","+38,674","1,476,287"
"
South America
","8,641,739",+237,"270,536",+30,"7,482,038",+439,"889,165"
"
Europe
","5,990,685","+47,524","230,718",+411,"3,022,440","+11,723","2,737,527"
"
Africa
","1,579,763","+1,464","37,974",+14,"1,305,895",+439,"235,894"
"
Oceania
","32,505",+28,942,+1,"29,405",+11,"2,158"
"

",721,,15,,659,,47
World,"37,539,061","+84,829","1,078,549","+1,259","28,163,787","+55,291","8,296,725"
USA,"7,949,351","+3,846","219,300 ",+18,"5,090,238",+396,"2,639,813"
India,"7,053,806","+2,263","108,371 ",,"6,077,976","+3,113","867,459"
Brazil,"5,091,840",,"150,236 ",,"4,453,722",,"487,882"
Russia,"1,298,718","+13,634","22,597 ",+143,"1,020,442","+4,240","255,679"
Colombia,"902,747",,"27,660 ",,"783,131",,"91,956"
Spain,"890,367",,"32,929 ",,N/A,N/A,N/A
Argentina,"883,882",,"23,581 ",,"709,464",,"150,837"
Peru,"846,088",,"33,223 ",,"738,189",,"74,676"
Mexico,"814,328","+4,577","83,642 ",+135,"591,150","+3,065","139,536"
France,"718,873",,"32,637 ",,"100,828",,"585,408"
South Africa,"690,896",,"17,673 ",,"622,153",,"51,070"
UK,"590,844",,"42,760 ",,N/A,N/A,N/A
Iran,"500,075","+3,822","28,544 ",+251,"406,389","+2,439","65,142"
Chile,"479,595",,"13,272 ",,"452,054",,"14,269"
Iraq,"402,330","+2,206","9,852 ",+62,"336,157","+3,827","56,321"
Bangladesh,"378,266","+1,193","5,524 ",+24,"292,860","+1,495","79,882"
Italy,"349,494",,"36,140 ",,"238,525",,"74,829"
Philippines,"339,341","+2,502","6,321 ",+83,"293,075","+17,057","39,945"
Saudi Arabia,"339,267",+323,"5,043 ",+25,"325,330",+593,"8,894"
Turkey,"334,031",,"8,778 ",,"293,145",,"32,108"
Indonesia,"333,449","+4,497","11,844 ",+79,"255,027","+3,546","66,578"
Germany,"324,259",+806,"9,697 ",+6,"273,500",,"41,062"
Pakistan,"318,932",+666,"6,570 ",+12,"303,458",+396,"8,904"
Israel,"290,079",+204,"1,956 ",+15,"225,929",+204,"62,194"
Ukraine,"261,034","+4,768","4,972 ",+85,"113,507",+937,"142,555"
Canada,"180,179",,"9,608 ",,"151,357",,"19,214"
Netherlands,"174,653","+6,373","6,584 ",+17,N/A,N/A,N/A
Belgium,"156,931","+7,950","10,175 ",+24,"20,202",+130,"126,554"
Romania,"155,283","+2,880","5,411 ",+53,"117,942","+1,314","31,930"
Morocco,"149,841",,"2,572 ",,"124,854",,"22,415"
Ecuador,"146,828",,"12,188 ",,"120,511",,"14,129"
Bolivia,"138,463",+237,"8,292 ",+30,"100,786",+439,"29,385"
Qatar,"127,778",,219 ,,"124,767",,"2,792"
Poland,"125,816","+4,178","3,004 ",+32,"80,302","+1,320","42,510"
Panama,"119,666",,"2,482 ",,"95,552",,"21,632"
Dominican Republic,"118,014",,"2,167 ",,"93,627",,"22,220"
Czechia,"114,005",,948 ,,"54,909",,"58,148"
Kuwait,"111,116",+548,658 ,+3,"103,268",+546,"7,190"
Kazakhstan,"108,757",+94,"1,746 ",,"103,980",+70,"3,031"
Nepal,"107,755","+2,071",636 ,+22,"75,804","+1,552","31,315"
UAE,"106,229","+1,096",445 ,+2,"97,284","+1,311","8,500"
Oman,"105,890","+1,761","1,038 ",+29,"92,840","+1,109","12,012"
Egypt,"104,387",,"6,040 ",,"97,643",,704
Sweden,"98,451",,"5,894 ",,N/A,N/A,N/A
